mode,rank_mode,threshold,total_return_%,CAGR_%,max_drawdown_%,trades,final_balance
短期p2,p2,0.6,23.57,4.78,-26.23,123,1235716.0
短期p2,p2,0.7,48.16,9.06,-20.52,125,1481567.0
短期p2,p2,0.8,43.71,8.33,-22.6,129,1437131.0
短期p2,p2,0.9,30.49,6.05,-24.5,125,1304944.0
长期p1,p1,0.6,23.25,4.72,-9.39,91,1232496.0
长期p1,p1,0.7,24.57,4.97,-18.16,89,1245744.0
长期p1,p1,0.8,37.25,7.24,-18.92,53,1372507.0
长期p1,p1,0.9,30.64,6.07,-40.97,37,1306354.0
阴阳yyi,yyi,0.6,37.2,7.23,-20.58,117,1371954.0
阴阳yyi,yyi,0.7,45.18,8.57,-22.6,127,1451772.0
阴阳yyi,yyi,0.8,37.63,7.3,-31.32,97,1376270.0
阴阳yyi,yyi,0.9,57.68,10.57,-25.67,1,1576810.0
