a,b,c,训练收益%,训练回撤%,训练夏普
20,50,96,72.4,-4.4,1.712
10,50,96,72.4,-4.4,1.712
15,50,96,72.4,-4.4,1.712
10,55,96,83.0,-7.7,1.555
20,55,96,83.0,-7.7,1.555
15,55,96,83.0,-7.7,1.555
25,50,96,64.1,-4.3,1.548
15,60,96,99.6,-6.6,1.469
20,60,96,99.6,-6.6,1.469
10,60,96,99.6,-6.6,1.469
30,50,96,59.4,-4.7,1.438
25,55,96,74.2,-7.7,1.424
20,65,96,111.6,-10.1,1.413
10,65,96,111.6,-10.1,1.413
15,65,96,111.6,-10.1,1.413
15,75,96,149.0,-13.7,1.382
10,75,96,149.0,-13.7,1.382
20,75,96,149.0,-13.7,1.382
25,60,96,90.1,-6.6,1.363
10,70,96,121.0,-10.6,1.343
15,70,96,121.0,-10.6,1.343
20,70,96,121.0,-10.6,1.343
30,55,96,69.2,-7.7,1.338
25,65,96,101.5,-10.1,1.32
25,75,96,137.0,-13.7,1.309
30,60,96,84.6,-6.6,1.295
15,80,96,164.2,-15.6,1.286
20,80,96,164.2,-15.6,1.286
10,80,96,164.2,-15.6,1.286
30,75,96,130.2,-13.7,1.262
25,70,96,110.4,-10.6,1.26
30,65,96,95.7,-11.4,1.26
35,50,96,51.0,-6.1,1.236
20,50,94,56.4,-9.5,1.235
10,50,94,56.4,-9.5,1.235
15,50,94,56.4,-9.5,1.235
25,80,96,151.6,-15.6,1.223
30,70,96,104.3,-11.3,1.208
20,75,94,125.9,-13.7,1.203
15,75,94,125.9,-13.7,1.203
10,75,94,125.9,-13.7,1.203
10,55,94,66.0,-10.3,1.196
15,55,94,66.0,-10.3,1.196
20,55,94,66.0,-10.3,1.196
15,60,94,81.2,-11.9,1.192
10,60,94,81.2,-11.9,1.192
20,60,94,81.2,-11.9,1.192
30,80,96,144.3,-15.8,1.184
35,55,96,60.2,-7.7,1.179
20,65,94,92.0,-13.7,1.177
10,65,94,92.0,-13.7,1.177
15,65,94,92.0,-13.7,1.177
35,75,96,118.0,-14.3,1.176
35,60,96,74.8,-6.7,1.168
15,75,90,145.4,-14.2,1.152
10,75,90,145.4,-14.2,1.152
20,75,90,145.4,-14.2,1.152
35,65,96,85.3,-13.1,1.15
15,70,94,100.5,-12.2,1.139
20,70,94,100.5,-12.2,1.139
10,70,94,100.5,-12.2,1.139
20,80,94,139.8,-15.6,1.138
15,80,94,139.8,-15.6,1.138
10,80,94,139.8,-15.6,1.138
25,75,94,115.1,-13.7,1.133
20,80,90,160.4,-16.0,1.116
15,80,90,160.4,-16.0,1.116
10,80,90,160.4,-16.0,1.116
15,75,92,115.5,-18.3,1.113
10,75,92,115.5,-18.3,1.113
20,75,92,115.5,-18.3,1.113
35,80,96,131.4,-17.3,1.11
35,70,96,93.5,-12.9,1.11
25,50,94,49.0,-9.5,1.097
25,60,94,72.5,-11.9,1.094
25,75,90,133.6,-14.2,1.091
25,65,94,82.9,-13.7,1.089
30,75,94,108.9,-13.7,1.088
20,65,90,108.6,-14.2,1.085
10,65,90,108.6,-14.2,1.085
15,65,90,108.6,-14.2,1.085
25,55,94,58.1,-10.3,1.079
25,80,94,128.3,-15.6,1.077
10,70,90,117.8,-11.8,1.077
15,70,90,117.8,-11.8,1.077
20,70,90,117.8,-11.8,1.077
40,75,96,104.4,-14.2,1.073
10,60,90,96.8,-14.6,1.068
15,60,90,96.8,-14.6,1.068
20,60,90,96.8,-14.6,1.068
15,80,92,128.7,-20.1,1.063
20,80,92,128.7,-20.1,1.063
10,80,92,128.7,-20.1,1.063
25,80,90,147.9,-16.0,1.062
25,70,94,90.9,-12.2,1.061
15,65,92,83.2,-14.9,1.06
20,65,92,83.2,-14.9,1.06
10,65,92,83.2,-14.9,1.06
